id,movie_id,info_type_id,info,note
7266123,921521,4,English,
7266124,921522,4,English,
7266125,921523,4,English,
7266126,921524,4,English,
7266127,921525,4,English,
7266128,921526,4,English,
7266129,921527,4,English,
7266130,921528,4,English,
7266131,921529,4,English,
7266132,921530,4,English,
7266133,921531,4,English,
7266134,921532,4,English,
7266135,921533,4,English,
7266136,921534,4,English,
7266137,921535,4,English,
7266138,921536,4,English,
7266139,921537,4,English,
7266140,921538,4,English,
7266141,921539,4,English,
7266142,921540,4,English,
7266143,921541,4,English,
7266144,921542,4,English,
7266145,921543,4,English,
7266146,921544,4,English,
7266147,921545,4,English,
7266148,921546,4,English,
7266149,921547,4,English,
7266150,921548,4,English,
7266151,921549,4,English,
7266152,921550,4,English,
7266153,921551,4,English,
7266154,921552,4,English,
7266155,921553,4,English,
7266156,921554,4,English,
7266157,921555,4,English,
7266158,921556,4,English,
7266159,921557,4,English,
7266160,921558,4,English,
7266161,921559,4,English,
7266162,921560,4,English,
7266163,921561,4,English,
7266164,921562,4,English,
7266165,921563,4,English,
7266166,921564,4,English,
7266167,921565,4,English,
7266168,921566,4,English,
7266169,921567,4,English,
7266170,921568,4,English,
7266171,921569,4,English,
7266172,921570,4,English,
7266173,921571,4,English,
7266174,921572,4,English,
7266175,921573,4,English,
7266176,921574,4,English,
7266177,921575,4,English,
7266178,921576,4,English,
7266179,921577,4,English,
7266180,921578,4,English,
7266181,921579,4,English,
7266182,921580,4,English,
7266183,921581,4,English,
7266184,921582,4,English,
7266185,921583,4,English,
7266186,921584,4,English,
7266187,921585,4,English,
7266188,921586,4,English,
7266189,921587,4,English,
7266190,921588,4,English,
7266191,921589,4,English,
7266192,921590,4,English,
7266193,921591,4,English,
7266194,921592,4,English,
7266195,921593,4,English,
7266196,921594,4,English,
7266197,921595,4,English,
7266198,921596,4,English,
7266199,921597,4,English,
7266200,921598,4,English,
7266201,921599,4,English,
7266202,921600,4,English,
7266203,921601,4,English,
7266204,921602,4,English,
7266205,921603,4,English,
7266206,921604,4,English,
7266207,921605,4,English,
7266208,921606,4,English,
7266209,921607,4,English,
7266210,921608,4,English,
7266211,921609,4,English,
7266212,921610,4,English,
7266213,921611,4,English,
7266214,921612,4,English,
7266215,921613,4,English,
7266216,921614,4,English,
7266217,921615,4,English,
7266218,921616,4,English,
7266219,921617,4,English,
7266220,921618,4,English,
7266221,921619,4,English,
7266222,921620,4,English,
7266223,921621,4,English,
7266224,921622,4,English,
7266225,921623,4,English,
7266226,921624,4,English,
7266227,921625,4,English,
7266228,921626,4,English,
7266229,921627,4,English,
7266230,921628,4,English,
7266231,921629,4,English,
7266232,921630,4,English,
7266233,921631,4,English,
7266234,921632,4,English,
7266235,921633,4,English,
7266236,921634,4,English,
7266237,921635,4,English,
7266238,921636,4,English,
7266239,921637,4,English,
7266240,921638,4,English,
7266241,921639,4,English,
7266242,921640,4,English,
7266243,921641,4,English,
7266244,921642,4,English,
7266245,921643,4,English,
7266246,921644,4,English,
7266247,921645,4,English,
7266248,921646,4,English,
7266249,921647,4,English,
7266250,921648,4,English,
7266251,921649,4,English,
7266252,921650,4,English,
7266253,921651,4,English,
7266254,921652,4,English,
7266255,921653,4,English,
7266256,921654,4,English,
7266257,921655,4,English,
7266258,921656,4,English,
7266259,921657,4,English,
7266260,921658,4,English,
7266261,921659,4,English,
7266262,921660,4,English,
7266263,921661,4,English,
7266264,921662,4,English,
7266265,921663,4,English,
7266266,921664,4,English,
7266267,921665,4,English,
7266268,921666,4,English,
7266269,921667,4,English,
7266270,921668,4,English,
7266271,921669,4,English,
7266272,921670,4,English,
7266273,921671,4,English,
7266274,921672,4,English,
7266275,921673,4,English,
7266276,921674,4,English,
7266277,921675,4,English,
7266278,921676,4,English,
7266279,921677,4,English,
7266280,921678,4,English,
7266281,921679,4,English,
7266282,921680,4,English,
7266283,921681,4,English,
7266284,921682,4,English,
7266285,921683,4,English,
7266286,921684,4,English,
7266287,921685,4,English,
7266288,921686,4,English,
7266289,921687,4,English,
7266290,921688,4,English,
7266291,921689,4,English,
7266292,921690,4,English,
7266293,921691,4,English,
7266294,921692,4,English,
7266295,921693,4,English,
7266296,921694,4,English,
7266297,921695,4,English,
7266298,921696,4,English,
7266299,921697,4,English,
7266300,921698,4,English,
7266301,921699,4,English,
7266302,921700,4,English,
7266303,921701,4,English,
7266304,921702,4,English,
7266305,921703,4,English,
7266306,921704,4,English,
7266307,921705,4,English,
7266308,921706,4,English,
7266309,921707,4,English,
7266310,921708,4,English,
7266311,921709,4,English,
7266312,921710,4,English,
7266313,921711,4,English,
7266314,921712,4,English,
7266315,921713,4,English,
7266316,921714,4,English,
7266317,921715,4,English,
7266318,921716,4,English,
7266319,921717,4,English,
7266320,921718,4,English,
7266321,921719,4,English,
7266322,921720,4,English,
7266323,921721,4,English,
7266324,921722,4,English,
7266325,921723,4,English,
7266326,921724,4,English,
7266327,921725,4,English,
7266328,921726,4,English,
